k_folds,norm,average test loss,average train loss:,,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,,average test loss,,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,,average train loss:
31,z_score,10.2,41.9,,8,10,10,11,10,11,9,11,11,12,12,10,9,10,11,10,,9,11,10,9,,10.2,,51,44,39,40,41,41,42,38,42,43,41,49,42,40,40,45,,43,37,40,40,,41.9
31,none,13.75,57.95,,12,11,21,8,17,11,7,16,21,12,22,9,9,10,7,18,,21,5,16,22,,13.75,,44,53,79,36,70,56,48,65,79,51,81,40,43,45,45,70,,70,49,61,74,,57.95
32,min_max,14.35,65.4,,12,12,15,17,17,14,17,17,14,12,12,17,12,18,14,13,,13,13,11,17,,14.35,,64,57,68,73,71,65,76,73,56,67,56,76,65,80,64,56,,51,60,54,76,,65.4
32,z_score,9.55,42.25,,9,11,10,11,9,10,10,9,10,9,8,9,10,10,10,11,,7,9,10,9,,9.55,,47,43,40,41,43,40,38,43,39,46,41,42,41,48,48,39,,43,40,39,44,,42.25
32,none,12.75,53.95,,10,11,13,10,11,7,8,19,16,9,19,10,23,20,10,10,,13,8,12,16,,12.75,,54,43,56,37,48,40,63,77,64,48,74,48,81,62,45,37,,43,34,55,70,,53.95
33,min_max,15.1,68.65,,13,17,13,18,17,14,10,14,16,17,12,14,13,18,17,13,,14,17,17,18,,15.1,,64,74,64,84,81,62,54,58,71,72,66,57,66,78,73,61,,60,63,82,83,,68.65
33,z_score,9.8,42.35,,9,7,9,9,10,10,11,9,9,9,10,10,13,12,9,10,,10,9,11,10,,9.8,,42,42,45,43,47,40,45,45,40,48,38,42,45,40,42,39,,41,43,39,41,,42.35
33,none,13.7,57.25,,7,12,10,21,10,11,20,12,12,13,22,14,11,22,11,10,,14,19,19,4,,13.7,,44,56,42,76,55,51,65,53,47,54,81,54,45,80,58,36,,60,78,72,38,,57.25
34,min_max,14.5,64.15,,13,18,13,18,18,14,14,13,14,17,14,17,13,17,14,12,,12,13,13,13,,14.5,,56,85,62,77,70,57,60,59,58,71,71,73,58,73,62,56,,58,60,61,56,,64.15
34,z_score,9.9,41.75,,9,10,9,10,11,9,9,11,11,10,11,11,8,9,12,9,,10,11,10,8,,9.9,,40,53,42,40,37,47,45,41,38,39,37,38,52,40,44,41,,39,40,40,42,,41.75
34,none,10.95,50.3,,8,12,11,17,12,9,12,10,14,5,9,12,10,22,5,11,,7,9,17,7,,10.95,,55,49,52,69,47,41,55,46,61,38,41,43,37,81,50,50,,40,40,60,51,,50.3
35,min_max,14.8,70.35,,14,13,14,17,12,17,14,18,17,17,15,12,12,14,13,17,,17,17,11,15,,14.8,,61,54,66,73,65,84,66,82,77,74,65,55,67,72,68,79,,84,80,67,68,,70.35
35,z_score,9.95,40.7,,10,8,9,11,8,8,10,10,9,10,10,11,10,9,11,10,,11,11,11,12,,9.95,,41,46,41,38,42,42,40,39,40,38,40,38,38,40,42,43,,42,39,43,42,,40.7
35,none,11.95,53.7,,12,13,4,18,9,8,10,7,15,18,10,14,21,9,21,12,,5,14,9,10,,11.95,,50,44,38,70,41,65,49,41,67,71,47,58,78,36,78,39,,45,62,50,45,,53.7
36,min_max,15.05,68.75,,16,17,17,12,14,12,17,12,16,13,18,18,17,17,14,12,,14,15,17,13,,15.05,,73,77,74,59,64,65,70,67,71,60,83,81,73,76,58,60,,61,69,75,59,,68.75
36,z_score,9.55,42,,10,9,9,11,9,9,9,11,8,9,10,9,10,10,8,11,,8,11,11,9,,9.55,,40,41,42,40,41,46,42,39,42,39,42,42,51,46,42,37,,40,39,45,44,,42
36,none,12.4,59.2,,13,14,7,13,6,10,10,7,14,22,8,19,21,10,16,21,,11,12,7,7,,12.4,,57,65,48,60,48,51,50,40,62,81,60,74,77,50,70,78,,47,57,47,62,,59.2
37,min_max,14.25,65.25,,14,13,17,13,12,17,17,15,13,12,14,13,14,14,17,13,,14,17,12,14,,14.25,,65,59,84,57,55,70,72,68,56,61,65,56,68,59,70,62,,68,84,65,61,,65.25
37,z_score,10,41.25,,11,11,9,8,10,10,11,12,11,11,9,10,10,9,9,10,,9,10,9,11,,10,,44,42,41,40,41,41,40,40,39,39,42,41,41,46,43,38,,46,38,45,38,,41.25
37,none,12.5,56,,16,16,11,14,18,21,7,16,9,11,18,10,7,14,12,9,,9,10,16,6,,12.5,,63,68,40,60,77,72,43,65,36,40,77,47,53,63,57,42,,41,46,68,62,,56
38,min_max,14.6,69.05,,17,14,14,13,17,13,14,17,17,12,15,16,16,13,14,16,,16,13,12,13,,14.6,,72,72,66,61,85,67,59,79,84,60,66,69,71,70,58,70,,83,67,65,57,,69.05
38,z_score,9.65,41.35,,10,9,11,11,9,10,10,8,9,8,11,9,8,10,10,10,,11,11,9,9,,9.65,,38,42,38,41,46,39,40,42,44,41,45,41,46,39,41,41,,40,41,41,41,,41.35
38,none,12.3,53.75,,13,10,12,20,14,12,12,19,16,7,8,6,5,22,10,10,,13,7,21,9,,12.3,,62,40,50,66,62,50,43,75,64,46,42,36,52,81,44,40,,60,40,76,46,,53.75
39,min_max,15.85,70.95,,17,17,17,17,17,17,17,17,13,13,14,13,14,18,17,16,,14,18,17,14,,15.85,,77,82,75,73,80,74,74,76,63,58,60,58,64,80,75,73,,63,79,76,59,,70.95
39,z_score,9.95,40.65,,9,10,11,10,10,11,11,10,9,11,10,9,9,9,10,11,,10,9,9,11,,9.95,,41,43,38,38,43,38,39,39,42,38,43,39,40,44,42,39,,38,46,42,41,,40.65
39,none,12.55,57.8,,14,8,12,6,5,5,21,12,7,12,10,16,18,9,17,14,,10,22,12,21,,12.55,,58,56,51,48,44,48,78,41,49,63,47,59,74,43,72,63,,52,81,57,72,,57.8
40,min_max,14.8,69.2,,17,17,17,14,16,13,16,12,12,15,17,14,14,17,13,12,,17,17,12,14,,14.8,,77,75,70,62,71,71,69,69,67,71,77,70,67,78,60,55,,75,71,60,69,,69.2
40,z_score,9.9,41.85,,9,10,10,9,11,8,11,10,9,11,10,9,9,11,9,11,,11,11,10,9,,9.9,,40,43,45,41,47,47,40,39,45,39,38,41,45,46,41,36,,39,38,40,47,,41.85
