k_folds,norm,eta,lambda,train loss,test loss
4,z_score,0.2,1.0,65,18
4,z_score,0.3,0.1,35,10
4,z_score,0.3,0.2,44,8
4,z_score,0.3,0.3,80,21
4,z_score,0.3,0.4,47,10
4,z_score,0.3,0.5,67,15
4,z_score,0.3,0.6,61,13
4,z_score,0.3,0.7,70,20
4,z_score,0.3,0.8,61,16
4,z_score,0.3,0.9,79,21
4,z_score,0.3,1.0,81,16
4,z_score,0.4,0.1,48,11
4,z_score,0.4,0.2,48,10
4,z_score,0.4,0.3,57,9
4,z_score,0.4,0.4,50,9
4,z_score,0.4,0.5,67,18
4,z_score,0.4,0.6,60,18
4,z_score,0.4,0.7,48,12
4,z_score,0.4,0.8,91,27
4,z_score,0.4,0.9,67,12
4,z_score,0.4,1.0,63,13
4,z_score,0.5,0.1,53,10
4,z_score,0.5,0.2,55,16
4,z_score,0.5,0.3,52,8
4,z_score,0.5,0.4,101,20
4,z_score,0.5,0.5,67,13
4,z_score,0.5,0.6,88,19
4,z_score,0.5,0.7,47,11
4,z_score,0.5,0.8,82,15
4,z_score,0.5,0.9,111,22
4,z_score,0.5,1.0,105,22
4,z_score,0.6,0.1,44,13
4,z_score,0.6,0.2,96,19
4,z_score,0.6,0.3,48,12
4,z_score,0.6,0.4,91,21
4,z_score,0.6,0.5,67,19
4,z_score,0.6,0.6,84,18
4,z_score,0.6,0.7,56,15
4,z_score,0.6,0.8,80,21
4,z_score,0.6,0.9,67,18
4,z_score,0.6,1.0,62,18
4,z_score,0.7,0.1,63,19
4,z_score,0.7,0.2,73,15
4,z_score,0.7,0.3,74,14
4,z_score,0.7,0.4,61,19
4,z_score,0.7,0.5,79,18
4,z_score,0.7,0.6,80,21
4,z_score,0.7,0.7,80,20
4,z_score,0.7,0.8,77,21
4,z_score,0.7,0.9,101,19
4,z_score,0.7,1.0,75,20
4,z_score,0.8,0.1,51,13
4,z_score,0.8,0.2,56,12
4,z_score,0.8,0.3,79,21
4,z_score,0.8,0.4,85,19
4,z_score,0.8,0.5,54,17
4,z_score,0.8,0.6,66,16
4,z_score,0.8,0.7,70,17
4,z_score,0.8,0.8,64,15
4,z_score,0.8,0.9,63,17
4,z_score,0.8,1.0,121,31
4,z_score,0.9,0.1,42,12
4,z_score,0.9,0.2,98,26
4,z_score,0.9,0.3,57,11
4,z_score,0.9,0.4,65,19
4,z_score,0.9,0.5,55,15
4,z_score,0.9,0.6,121,26
4,z_score,0.9,0.7,99,26
4,z_score,0.9,0.8,109,27
4,z_score,0.9,0.9,117,29
4,z_score,0.9,1.0,95,21
4,z_score,1.0,0.1,51,12
4,z_score,1.0,0.2,44,14
4,z_score,1.0,0.3,61,19
