k_folds,norm,eta,train loss,test loss,train loss,test loss,train loss,test loss,train loss,test loss
3,min_max,0.19,9,4,15,2,9,2,12,5
3,min_max,0.2,10,2,9,4,10,2,8,4
3,min_max,0.21,14,2,22,3,12,5,13,5
3,min_max,0.22,9,2,7,4,11,4,8,4
3,min_max,0.23,8,4,11,4,12,2,10,2
3,min_max,0.24,19,9,10,2,11,4,11,4
3,min_max,0.25,16,2,9,4,9,4,8,4
3,min_max,0.26,8,4,9,4,9,5,10,4
3,min_max,0.27,11,4,15,2,10,4,8,4
3,min_max,0.28,5,4,10,2,9,2,8,4
3,min_max,0.29,9,4,11,4,9,4,11,4
3,min_max,0.3,11,4,10,4,13,5,11,4
3,min_max,0.31,10,4,11,5,20,2,11,4
3,min_max,0.32,7,4,9,4,11,2,9,2
3,min_max,0.33,16,2,14,5,18,2,11,4
3,min_max,0.34,9,4,9,4,10,4,9,4
3,min_max,0.35,11,4,16,10,10,3,15,2
3,min_max,0.36,8,4,6,4,10,2,9,4
3,min_max,0.37,8,4,10,4,10,5,11,5
3,min_max,0.38,10,2,12,5,10,4,8,4
3,min_max,0.39,11,5,11,5,12,3,11,4
3,min_max,0.4,5,4,10,4,11,5,9,4
3,min_max,0.41,9,4,8,4,7,4,9,3
3,min_max,0.42,12,7,7,4,11,5,8,4
3,min_max,0.43,10,5,28,12,10,4,8,4
3,min_max,0.44,9,4,11,5,7,4,8,4
3,min_max,0.45,8,4,8,4,15,8,13,6
3,min_max,0.46,10,5,9,4,12,5,13,2
3,min_max,0.47,30,7,7,4,8,4,11,4
3,min_max,0.48,10,4,9,4,12,2,10,2
3,min_max,0.49,9,4,11,4,9,4,9,4
3,min_max,0.5,9,2,10,4,11,4,9,4
3,min_max,0.51,6,4,9,4,9,3,12,5
3,min_max,0.52,6,4,9,4,11,4,23,4
3,min_max,0.53,11,5,10,3,16,2,9,4
3,min_max,0.54,17,2,12,5,8,4,12,2
3,min_max,0.55,11,5,23,3,10,4,9,4
3,min_max,0.56,11,5,6,4,10,2,8,4
3,min_max,0.57,10,2,39,11,10,2,10,4
3,min_max,0.58,9,4,9,4,10,4,10,4
3,min_max,0.59,21,9,17,2,11,5,13,6
3,min_max,0.6,14,7,9,4,9,4,16,2
3,min_max,0.61,11,5,12,3,8,4,8,3
3,min_max,0.62,13,2,17,2,6,4,9,4
3,min_max,0.63,8,4,8,4,17,2,11,4
3,min_max,0.64,11,5,13,5,13,5,8,4
3,min_max,0.65,11,2,10,4,11,2,10,5
3,min_max,0.66,13,5,11,5,11,5,13,8
3,min_max,0.67,15,2,11,2,11,4,11,4
3,min_max,0.68,24,10,6,4,9,4,9,4
3,min_max,0.69,9,4,10,4,12,2,10,2
3,min_max,0.7,12,6,11,4,7,4,10,4
3,min_max,0.71,6,4,10,5,9,4,13,2
3,min_max,0.72,12,5,8,4,10,3,7,4
3,min_max,0.73,12,3,14,5,7,4,13,7
3,min_max,0.74,16,8,10,3,10,3,10,4
3,min_max,0.75,9,2,11,5,8,4,14,2
3,min_max,0.76,19,2,9,4,6,4,9,4
3,min_max,0.77,18,2,10,2,7,4,9,4
3,min_max,0.78,8,4,8,4,9,4,7,4
3,min_max,0.79,9,4,11,4,10,2,11,4
3,min_max,0.8,26,6,17,2,5,4,8,4
3,min_max,0.81,10,4,9,4,12,6,11,2
3,min_max,0.82,9,4,14,5,14,7,11,4
3,min_max,0.83,13,6,10,4,9,4,7,4
3,min_max,0.84,12,5,12,6,9,4,15,2
3,min_max,0.85,11,5,10,4,11,5,13,5
3,min_max,0.86,7,4,20,2,9,4,11,5
3,min_max,0.87,9,4,12,5,8,4,8,4
3,min_max,0.88,9,2,11,4,5,4,11,2
3,min_max,0.89,8,4,10,3,24,4,21,3
3,min_max,0.9,16,2,7,4,7,4,9,4
3,min_max,0.91,19,2,13,8,9,3,11,2
3,min_max,0.92,20,2,6,4,11,2,10,4
3,min_max,0.93,9,4,12,2,10,5,15,2
3,min_max,0.94,8,4,8,4,8,4,17,9
3,min_max,0.95,9,4,9,4,11,2,16,8
3,min_max,0.96,9,4,9,4,11,5,16,2
3,min_max,0.97,11,2,7,4,7,4,9,4
3,min_max,0.98,11,5,13,2,15,2,9,4
3,min_max,0.99,20,2,10,4,8,4,8,4
3,min_max,1,8,4,15,2,9,4,11,4
3,z_score,0.01,10,4,10,3,8,4,7,4
3,z_score,0.02,12,3,10,4,9,4,13,3
3,z_score,0.03,11,4,8,4,8,3,7,3
3,z_score,0.04,11,2,12,3,10,4,8,4
3,z_score,0.05,9,4,6,4,9,4,8,3
3,z_score,0.06,8,4,10,4,11,3,8,3
3,z_score,0.07,6,4,8,4,7,3,8,4
3,z_score,0.08,10,2,5,3,8,4,11,4
3,z_score,0.09,11,3,7,3,10,3,8,4
3,z_score,0.1,11,3,8,4,10,3,10,4
3,z_score,0.11,10,3,10,3,11,3,6,3
3,z_score,0.12,8,3,10,3,12,4,8,3
3,z_score,0.13,10,4,11,4,9,4,9,2
3,z_score,0.14,7,3,9,2,7,4,10,2
3,z_score,0.15,9,4,10,4,9,2,9,4
3,z_score,0.16,8,4,10,3,11,3,8,3
3,z_score,0.17,8,4,11,4,8,4,9,2
3,z_score,0.18,7,4,12,3,6,3,10,3
3,z_score,0.19,10,3,8,3,8,3,13,5
3,z_score,0.2,11,4,10,4,8,5,9,3
3,z_score,0.21,8,3,13,3,6,3,10,2
3,z_score,0.22,9,3,9,4,9,3,6,3
3,z_score,0.23,9,4,10,4,9,4,7,3
3,z_score,0.24,8,3,11,4,12,3,10,4
3,z_score,0.25,10,4,8,3,11,4,8,4
3,z_score,0.26,11,4,8,3,9,2,9,4
3,z_score,0.27,11,4,9,3,8,3,10,4
3,z_score,0.28,10,4,10,4,6,3,14,6
3,z_score,0.29,12,3,7,3,12,4,11,5
3,z_score,0.3,10,4,9,5,8,4,8,4
3,z_score,0.31,8,2,8,3,10,4,11,4
3,z_score,0.32,7,4,15,2,9,4,13,3
3,z_score,0.33,9,4,9,4,5,4,8,4
3,z_score,0.34,8,3,8,3,13,3,10,2
3,z_score,0.35,10,4,10,2,10,4,12,3
3,z_score,0.36,9,2,11,4,10,3,10,5
3,z_score,0.37,9,4,9,3,11,3,10,4
3,z_score,0.38,12,3,11,4,7,3,11,4
3,z_score,0.39,12,4,9,4,7,4,8,2
3,z_score,0.4,11,4,6,3,7,3,10,2
3,z_score,0.41,10,4,10,4,8,4,9,3
3,z_score,0.42,10,4,8,4,7,4,10,4
3,z_score,0.43,9,4,9,3,8,3,9,4
3,z_score,0.44,9,4,10,3,7,4,7,3
3,z_score,0.45,6,4,10,4,6,3,12,3
3,z_score,0.46,7,4,5,4,8,4,10,3
3,z_score,0.47,7,4,9,4,11,3,11,2
3,z_score,0.48,9,4,9,3,9,4,8,4
3,z_score,0.49,10,3,8,4,7,4,11,4
3,z_score,0.5,8,3,8,3,9,3,11,3
3,z_score,0.51,9,4,10,4,9,3,6,3
3,z_score,0.52,7,3,11,4,7,4,13,2
3,z_score,0.53,8,4,10,4,10,4,9,2
3,z_score,0.54,7,4,9,4,14,2,9,3
3,z_score,0.55,10,4,9,4,8,4,6,3
3,z_score,0.56,11,4,8,3,10,4,8,4
3,z_score,0.57,9,4,11,5,11,4,11,4
3,z_score,0.58,10,4,6,4,8,3,6,4
3,z_score,0.59,8,3,8,4,10,4,7,4
3,z_score,0.6,10,3,7,4,12,2,6,3
3,z_score,0.61,9,4,9,4,7,4,11,3
3,z_score,0.62,14,8,7,3,12,4,9,4
3,z_score,0.63,9,3,9,4,6,3,6,3
3,z_score,0.64,5,3,6,3,11,4,14,5
3,z_score,0.65,8,4,10,3,13,4,7,4
3,z_score,0.66,9,3,8,3,10,4,9,3
3,z_score,0.67,9,2,10,4,11,3,9,4
3,z_score,0.68,7,3,9,3,10,3,9,4
3,z_score,0.69,12,4,8,4,12,3,13,2
3,z_score,0.7,12,4,10,4,12,4,13,4
3,z_score,0.71,11,5,10,4,9,3,11,3
3,z_score,0.72,12,4,9,3,10,4,10,4
3,z_score,0.73,10,3,10,2,9,4,8,3
3,z_score,0.74,11,3,9,4,8,3,8,3
3,z_score,0.75,10,4,8,3,6,3,11,2
3,z_score,0.76,8,4,8,3,9,4,11,3
3,z_score,0.77,9,3,9,4,8,3,9,4
3,z_score,0.78,8,3,6,3,9,4,11,4
3,z_score,0.79,9,4,5,3,8,4,11,3
3,z_score,0.8,10,3,10,4,5,4,13,3
3,z_score,0.81,9,2,8,4,10,2,8,4
3,z_score,0.82,11,4,8,4,9,4,9,2
3,z_score,0.83,10,3,8,4,12,5,12,4
3,z_score,0.84,8,4,7,4,9,3,8,3
3,z_score,0.85,12,4,11,4,13,2,8,4
3,z_score,0.86,5,3,10,3,8,3,8,3
3,z_score,0.87,9,4,8,3,9,4,10,4
3,z_score,0.88,6,3,10,3,6,3,9,4
3,z_score,0.89,12,6,8,4,9,3,7,3
3,z_score,0.9,11,4,8,4,6,4,13,2
3,z_score,0.91,8,3,8,3,8,5,8,4
3,z_score,0.92,8,4,8,4,10,4,11,3
3,z_score,0.93,11,4,10,4,13,7,11,3
3,z_score,0.94,8,4,9,3,10,2,6,3
3,z_score,0.95,8,4,9,4,9,4,9,2
3,z_score,0.96,9,4,11,3,7,4,5,4
3,z_score,0.97,8,3,11,4,9,5,8,4
